axis_a,axis_b,literature_status,literature_direction,expected_sign,cross_median,cross_consensus,cross_n_pos,cross_n_neg,classification,cross_sign_correct,null_n_perms,cross_null_mean,cross_null_q025,cross_null_q975,cross_p_emp_two_sided,dirscore_median,dirscore_consensus,dirscore_sign_correct,dirscore_p_emp_two_sided,dir_n_perms,dir_n_celltypes,dir_null_center,dir_null_q025,dir_null_q975,dir_p_emp,median_score,sign_consensus,sign_correct,error
IL12,IL13,UNKNOWN,no_lit,,0.003097444772720337,0.6153846153846154,8,5,AMBIGUOUS,False,100,0.0034532094933092594,-0.004574967734515667,0.014376095402985806,0.56,0.020850062370300293,0.6923076923076923,False,0.0,0,0,,,,,0.003097444772720337,0.6153846153846154,False,
IL10,IL12,ANTAGONISM,no_lit,,-0.004184901714324951,0.6923076923076923,4,9,AMBIGUOUS,False,100,-0.005692653590813279,-0.01578003689646721,0.0026184886693954397,0.62,0.013472795486450195,0.6153846153846154,False,0.01,0,0,,,,,-0.004184901714324951,0.6923076923076923,False,
IL15,IL1b,UNKNOWN,no_lit,,0.010802417993545532,0.6153846153846154,8,5,WEAK,False,100,0.005442325249314308,-0.010100527107715607,0.020513289421796792,0.23,0.00592389702796936,0.5384615384615384,False,0.38,0,0,,,,,0.010802417993545532,0.6153846153846154,False,
IFNg,IL12,BIDIRECTIONAL,bidir,,-0.024668753147125244,0.6923076923076923,4,9,WEAK,False,100,-0.0036170906946063042,-0.0140862587839365,0.00895252861082552,0.0,0.0944739580154419,0.9230769230769231,False,0.0,0,0,,,,,-0.024668753147125244,0.6923076923076923,False,
IL15,IL18,UNKNOWN,no_lit,,0.03326970338821411,0.7692307692307693,10,3,STRONG,False,100,-0.0005005568452179431,-0.0137206906452775,0.015801350865513084,0.0,0.031599074602127075,0.7692307692307693,False,0.0,0,0,,,,,0.03326970338821411,0.7692307692307693,False,
IL6,TNFa,NFKB_STAT3,b_to_a,-1.0,-0.022692888975143433,0.8461538461538461,2,11,STRONG,True,100,-0.001922870734706521,-0.013551064766943455,0.008781874040141701,0.0,-0.016263842582702637,0.5384615384615384,True,0.0,0,0,,,,,-0.022692888975143433,0.8461538461538461,True,
IL1b,IL6,NFKB_STAT3,a_to_b,1.0,-0.005664348602294922,0.6153846153846154,5,8,AMBIGUOUS,False,100,-0.0032004673779010774,-0.011793462466448546,0.004810973396524781,0.35,-0.012910127639770508,0.5384615384615384,False,0.09,0,0,,,,,-0.005664348602294922,0.6153846153846154,False,
IL2,IL6,UNKNOWN,no_lit,,0.041359126567840576,0.9230769230769231,12,1,STRONG,False,100,0.0008981867600232362,-0.009132076520472765,0.012639471422880882,0.0,-0.020673274993896484,0.7692307692307693,False,0.01,0,0,,,,,0.041359126567840576,0.9230769230769231,False,
IL10,IL4,UNKNOWN,no_lit,,0.0392322838306427,0.8333333333333334,10,2,STRONG,False,100,-0.002997534219175577,-0.015346108912490308,0.009041882236488129,0.0,0.04969280958175659,0.8333333333333334,False,0.0,0,0,,,,,0.0392322838306427,0.8333333333333334,False,
IL12,IL15,UNKNOWN,no_lit,,-0.01579296588897705,0.6153846153846154,5,8,WEAK,False,100,0.0008711326308548451,-0.011793045792728662,0.012054974026978004,0.01,0.022998899221420288,0.7692307692307693,False,0.0,0,0,,,,,-0.01579296588897705,0.6153846153846154,False,
